Ränta (rate),Bank,Bindningstid (loan duration),Postnummer (ZIP),Hur stort är ditt bolån (amount),När band du lånet (start date),,
"4,88",Swedbank,5 år,43138,"0,74",augusti 2007,,
"4,87",Länsförsäkringar,5 år,29635,140000,20090109,,
"4,87",Swedbank,5 år,34130,"1,5",2007,,
"4,87",Swedbank,3 år,58231,,,,
"4,87",SBAB,3 månader,58 750,790000,Dec-11,,
"4,87",Swedbank,3 månader,71 391,,,,
"4,87",Handelsbanken,10 år,78461,"0,5 mkr",2022,,
"4,86",Swedbank,3 månader,29 539,,,,
"4,86",Handelsbanken,10 år,44694,800000,90517,,
"4,86",Länsförsäkringar,3 år,83138,450398,110601,,
"4,85",SBAB,7 år,11226,,,,
"4,85",Nordea,7 år,11631,"2,0 mkr",1/1/2010,,
"4,85",SBAB,Rörlig,12 055,,,,
"4,85",Handelsbanken,10 år,12253,,,,
"4,85",Swedbank,3 månader,17 740,,,,
"4,85",Skandiabanken,5 år,18146,"2,3 mkr",10/1/2007,,
"4,85",SBAB,5 år,23173,"2,4",201102015,,
"4,85",SBAB,5 år,43240,"7,0 Mkr",Juni 2007,,
"4,85",Handelsbanken,10 år,43376,"2,2mkr",Apr-07,,
"4,85",Swedbank,Rörlig,45 432,"1,2",juni 2009,,
"4,85",Handelsbanken,Rörlig,51 172,"0,24 mkr",vet ej,,
"4,85",Nordea,Rörlig,90 344,"0,8 mkr",110601,,
"4,85",Länsförsäkringar,Rörlig,91 594,600000,2008,,
"4,85",Swedbank,5 år,92192,827447,2010,,
"4,85",Nordea,3 år,96144,,,,
"4,85",Nordea,Rörlig,97 438,"0,4",Nov-07,,
"4,85",Swedbank,10 år,66333,"0""","1,7",Februari 2008,
"4,84",Nordea,3 år,13649,"1,5",4/5/2010,,
"4,83",SBAB,3 månader,19 530,"0,5",110431,,
"4,83",SBAB,5 år,39359,,,,
"4,83",Nordea,3 månader,41 316,1300000,20070920,,
"4,83",Handelsbanken,Rörlig,61 291,850000,0,,
"4,83",Swedbank,5 år,73325,,,,
"4,83",Handelsbanken,10 år,82060,480000,20070501,,
"4,83",Länsförsäkringar,5 år,82660,,,,
"4,83",Handelsbanken,3 månader,19330,"0""","0,8 mkr",januari,
"4,83",Handelsbanken,3 månader,19330,"0""","0,8 mkr",januari 2012,
"4,82",SBAB,Rörlig,44 137,608000,120231,,
"4,82",Handelsbanken,5 år,59693,,,,
"4,82",Länsförsäkringar,10 år,66130,184500,20070330,,
"4,82",SBAB,3 månader,72 245,"1,75 mkr",10/10/2010,,
"4,81",Handelsbanken,3 månader,27 136,256801:-,20111201,,
"4,81",Handelsbanken,7 år,31302,300,Mars 2009,,
"4,81",Handelsbanken,8 år,39247,,,,
"4,81",Swedbank,Rörlig,67 193,,,,
"4,8",Swedbank,Rörlig,13 138,"1,8 mkr",Ej bundit,,
"4,8",Nordea,3 månader,13 246,,,,
"4,8",SBAB,5 år,14159,"1,4 mkr",12/12/2011,,
"4,8",Handelsbanken,10 år,18644,485000,Dec-06,,
"4,8",Nordea,5 år,19730,"2,7",5/1/2011,,
"4,8",SEB,5 år,25450,867000,5/29/2007,,
"4,8",Nordea,5 år,26172,660000,3/1/2008,,
"4,8",Swedbank,8 år,29165,574000,11/26/2006,,
"4,8",Handelsbanken,5 år,38630,"1,2",2005,,
"4,8",Swedbank,12år,38692,"1,2 mkr",Mars 2005,,
"4,8",Handelsbanken,5 år,42454,2000000,20070430,,
"4,8",Handelsbanken,7 år,44195,"1,5",110801,,
"4,8",SBAB,Rörlig,46 595,"252.0""0","00""",Sep-10,
"4,8",SBAB,Rörlig,46 595,"252.0""0","00""",Sep-10,
"4,8",Swedbank,8 år,47160,406600,1/1/2007,,
"4,8",Swedbank,5 år,51196,760000,Mars 2008,,
"4,8",Länsförsäkringar,3 år,54133,500000,91201,,
"4,8",Länsförsäkringar,3 månader,54 394,355000,20120316,,
"4,8",Swedbank,5 år,64194,320,3/1/2008,,
"4,8",Handelsbanken,3 år,64630,,,,
"4,8",Nordea,Rörlig,65 217,750000,100131,,
"4,8",Swedbank,5 år,70232,600000,20110201,,
"4,8",Swedbank,5 år,70232,600000,20110201,,
"4,8",SEB,3 månader,72 469,"1,1 mkr",20120313,,
"4,8",Swedbank,Rörlig,74 451,,,,
"4,8",Swedbank,Rörlig,79 022,"1,0mkr",oktober 2010,,
"4,8",Nordea,Rörlig,88 133,,,,
"4,8",Handelsbanken,Rörlig,95 295,,,,
"4,8",Handelsbanken,5 år,97252,"1,6",12/13/2010,,
"4,79",Swedbank,5 år,37451,,,,
"4,79",Handelsbanken,10 år,43276,"0,9",3/15/2009,,
"4,79",Handelsbanken,10 år,57080,340000,20061120,,
"4,79",Handelsbanken,10 år,63506,"0,65 mkr",5/1/2007,,
"4,78",SBAB,Rörlig,41 260,"1,2 mkr",1/12/2001,,
"4,78",Nordea,1 år,79590,"0""",185000,maj 2011,
"4,77",SBAB,3 månader,18 697,,,,
"4,77",Handelsbanken,3 månader,21 616,,,,
"4,77",SEB,5 år,24532,2055500,2006,,
"4,76",SBAB,3 månader,11 225,,,,
"4,76",Handelsbanken,10 år,18147,655000,Mars 2010,,
"4,76",Handelsbanken,3 år,23838,150 kkr,Aug-11,,
"4,76",SBAB,3 månader,24 334,"1,58 mkr",Februari 2012,,
"4,76",Swedbank,3 år,29060,400000,2011,,
"4,76",Swedbank,3 år,31140,,,,
"4,76",Swedbank,10 år,61336,"1,1mkr",12/3/2010,,
"4,76",Handelsbanken,3 år,68830,189000 kr,Apr-11,,
"4,76",Swedbank,3 år,78468,,,,
"4,75",Handelsbanken,5 år,11333,850000,2007,,
"4,75",Handelsbanken,Rörlig,11 527,,,,
"4,75",Handelsbanken,3 månader,11 761,380000,Januari 2012,,
"4,75",Handelsbanken,5 år,11846,"2,3",6/1/2009,,
"4,75",Handelsbanken,5 år,11846,"2,3 mkr",90601,,
"4,75",SBAB,2 år,13144,1,6/12/2011,,
"4,75",Handelsbanken,5 år,14771,"3,2 mkr",2007,,
"4,75",SBAB,5 år,15534,"1,8 mkr",110601,,
"4,75",Handelsbanken,Rörlig,17 163,"1,6",Nov-05,,
"4,75",Handelsbanken,Rörlig,17 163,"1,6",Nov-05,,
"4,75",Handelsbanken,3 månader,18 495,1.0 mkr,Januari 2010,,
"4,75",Swedbank,5 år,18539,"850.0""0","00""",11/26/2007,
"4,75",Handelsbanken,Rörlig,18 653,,,,
"4,75",Danske Bank,10 år,21232,2512000,20061001,,
"4,75",Handelsbanken,Rörlig,21 755,"1,3 Mkr. ",Nov-07,,
"4,75",Swedbank,10 år,23192,2,20070115,,
"4,75",Swedbank,5 år,28140,600000,20101001,,
