Ränta (rate),Bank,Bindningstid (loan duration),Postnummer (ZIP),Hur stort är ditt bolån (amount),När band du lånet (start date),,
"3,18",Swedbank,3 månader,11 740,3385000,20120331,,
"3,18",SEB,2 år,11759,,,,
"3,18",Nordea,3 månader,11 823,"3,0 mkr",Apr-12,,
"3,18",Handelsbanken,2 år,11847,"1,8",10/1/2011,,
"3,18",Swedbank,3 år,13640,,,,
"3,18",SEB,2 år,14564,"1,6",3/13/2012,,
"3,18",SEB,1 år,16940,"2,1 mkr",11/1/2011,,
"3,18",SEB,3 månader,17 564,"3,1",101201,,
"3,18",SEB,3 månader,18 247,"5,7",mars 2012,,
"3,18",SEB,3 månader,18 355,"4,5",8/16/2011,,
"3,18",SEB,2 år,18670,,,,
"3,18",SEB,2 år,18777,2500000,2012,,
"3,18",SEB,3 år,19469,"0,926",10/28/2010,,
"3,18",SEB,3 år,19693,,,,
"3,18",SEB,3 år,24465,"1,8mkr",januari 2012,,
"3,18",Swedbank,2 år,25269,"2,7",10/1/2011,,
"3,18",SEB,3 månader,26 339,"1,6",120324,,
"3,18",Handelsbanken,2 år,39244,"4,25 mkr",6/25/2011,,
"3,18",SEB,3 månader,41 672,"3,275",3/20/2012,,
"3,18",Swedbank,3 år,41674,"1,5 mkr",120330,,
"3,18",SEB,1 år,42651,,,,
"3,18",Handelsbanken,1 år,43337,,,,
"3,18",SEB,2 år,43638,1800000,111031,,
"3,18",Swedbank,Rörlig,53 272,600000,20120331,,
"3,18",SEB,3 månader,56 434,"2,3 mkr",Mars 2012,,
"3,18",SEB,2 år,59392,,,,
"3,18",SEB,2 år,59392,,,,
"3,18",Swedbank,5 år,72471,2000000,3/1/2012,,
"3,18",Länsförsäkringar,2 år,73437,"1,1 mkr",20091001,,
"3,18",Swedbank,Rörlig,80 257,"1,05 mkr",20120330,,
"3,18",SEB,3 år,80311,1mkr,120331,,
"3,18",SEB,2 år,83013,680000,Sep-11,,
"3,18",Swedbank,3 år,95435,,,,
"3,17",Nordea,3 år,11247,"2,16 mkr",3/26/2012,,
"3,17",SEB,1 år,11267,,,,
"3,17",SEB,1 år,11267,,,,
"3,17",SEB,1 år,11267,2,Juni 2011,,
"3,17",SEB,1 år,11269,"01.0""0","00""",Mars 2012 ,
"3,17",SEB,3 månader,11 324,,,,
"3,17",SEB,5 år,11821,,,,
"3,17",Swedbank,2 år,12371,1120000,10/30/2011,,
"3,17",SEB,3 månader,14 170,"2,4mkr",Mars 2012,,
"3,17",Handelsbanken,2 år,15338,,,,
"3,17",SEB,3 år,16351,682000,9/10/2012,,
"3,17",Nordea,3 år,16873,,,,
"3,17",SEB,3 månader,17 543,"1,7 mkr",Mars 2012,,
"3,17",SEB,3 år,17552,"0,57",100928,,
"3,17",SEB,2 år,18260,,,,
"3,17",SEB,3 månader,18 265,5,Februari 2012,,
"3,17",Swedbank,3 år,18768,,,,
"3,17",Handelsbanken,Rörlig,21 136,1950000,20120301,,
"3,17",SEB,3 år,23432,"1,7 mkr",20111228,,
"3,17",Handelsbanken,3 månader,29 472,450,120102,,
"3,17",Handelsbanken,3 månader,38 734,"1,2",3/1/2012,,
"3,17",Handelsbanken,3 månader,38 734,"1,2",3/1/2012,,
"3,17",Handelsbanken,3 månader,38 734,"1,2",3/1/2012,,
"3,17",Swedbank,Rörlig,41 139,,,,
"3,17",Swedbank,3 månader,41 259,"5,5 mkr",Februari,,
"3,17",SEB,2 år,42738,,,,
"3,17",SEB,2 år,45162,1.5mkr,111020,,
"3,17",SEB,1 år,58252,741000,Oktober 2011,,
"3,17",SEB,1 år,58252,741000,Oktober 2011,,
"3,17",Swedbank,Rörlig,64 732,770000,obundet,,
"3,17",Swedbank,3 år,77135,,,,
"3,17",SEB,1 år,78434,,,,
"3,17",SEB,3 månader,80 255,"1,6",Dec-11,,
"3,17",Swedbank,3 år,14168,"0""","0,8 mkr",Oktober 2010,
"3,17",Swedbank,2 år,55323,"0""",425000,1/15/2012,
"3,16",SEB,2 år,11231,"1,8 mkr",4/2/2012,,
"3,16",SEB,2 år,11233,"1,9",110901,,
"3,16",SEB,3 månader,11 239,"1,33",3/15/2011,,
"3,16",SEB,3 månader,11 240,,,,
"3,16",Nordea,3 år,11267,,,,
"3,16",SEB,2 år,11328,500000,januari 2012,,
"3,16",SEB,3 månader,11 337,"4,2",Maj 2010,,
"3,16",SEB,3 månader,11 345,,,,
"3,16",Swedbank,3 månader,11 356,"2,7 mkr",20120401,,
"3,16",Nordea,2 år,11643,"4,0 mkr",2012/02/30,,
"3,16",SEB,1 år,12065,"2,5",7/31/2011,,
"3,16",SEB,3 år,12264,"5,3 mkr",2/19/2012,,
"3,16",Handelsbanken,2 år,12742,"1,6",20120101,,
"3,16",SEB,3 månader,13 135,,,,
"3,16",SEB,3 månader,13 146,,,,
"3,16",SEB,3 år,13244,632700,Dec-11,,
"3,16",SEB,1 år,13439,2 mkr,20121230,,
"3,16",SEB,2 år,14145,,,,
"3,16",SEB,1 år,16342,,,,
"3,16",SEB,3 månader,16 744,"2,3 mkr",3/28/2012,,
"3,16",Handelsbanken,3 år,16855,5 mkr,Mars 2012,,
"3,16",SEB,3 månader,17 144,670000,3/28/2012,,
"3,16",SEB,2 år,17543,"1,5",1/1/2012,,
"3,16",SEB,Rörlig,17 568,3 mkr,3/28/2012,,
"3,16",Handelsbanken,1 år,18275,4 mkr,9/9/2011,,
"3,16",SEB,3 år,19277,"3,8 mkr",9/30/2011,,
"3,16",SEB,2 år,19693,,,,
"3,16",Handelsbanken,3 månader,30 238,,,,
"3,16",SEB,3 månader,35 250,"3,8 mkr",3/21/2012,,
"3,16",SEB,3 månader,41 321,5 mkr,3/15/2012,,
"3,16",SEB,2 år,41704,550000,Dec-11,,
"3,16",SEB,2 år,42677,"1,5",Mars 2012,,
"3,16",Swedbank,Rörlig,42 941,"1,4",Sep-11,,
"3,16",SEB,3 månader,51 157,1,2/27/2012,,
"3,16",Swedbank,Rörlig,52 302,",280 mkr",11/20/2011,,
"3,16",SEB,3 månader,64 534,,,,
"3,16",SEB,3 år,65230,2 mkr,3/28/2012,,
"3,16",SEB,2 år,65591,490000,Apr-12,,
"3,16",SEB,Rörlig,75 452,2400000,100401,,
"3,16",SEB,3 år,89196,61000,20091101,,
"3,16",SEB,3 månader,97 231,,,,
"3,16",SEB,3 år,11231,"0""",2975000,Sep-11,
"3,16",Handelsbanken,3 år,34140,"0""",1237000,20101030,
"3,15",SEB,1 år,11220,"4,8 mkr",5/28/2011,,
"3,15",Danske Bank,3 år,11250,,,,
"3,15",Handelsbanken,2 år,11333,,,,
"3,15",SEB,2 år,11335,,,,
"3,15",Handelsbanken,1 år,11430,,,,
"3,15",SEB,2 år,11444,"5,2 mkr",Mars 2012,,
"3,15",Länsförsäkringar,2 år,11727,,,,
"3,15",SEB,Rörlig,12 839,5mkr,110603,,
"3,15",SEB,2 år,12935,"5,6 mkr",20120228,,
"3,15",Länsförsäkringar,2 år,13138,488000,9/30/2010,,
"3,15",Nordea,3 år,13234,"0,5 mkr",100125,,
"3,15",SEB,2 år,13331,850000,11/28/2010,,
"3,15",Swedbank,3 månader,13 563,,,,
"3,15",SEB,2 år,13673,"1,8",9/1/2011,,
"3,15",SEB,2 år,13933,3,120228,,
"3,15",SEB,2 år,14172,"3,7 mkr",Dec-11,,
"3,15",Länsförsäkringar,3 månader,14 192,"3,3 mkr",5/27/2011,,
"3,15",Nordea,2 år,14636,,,,
"3,15",SBAB,3 månader,15 144,427000,1/1/2011,,
"3,15",SEB,3 månader,16 351,1 mkr,1/1/2012,,
"3,15",SEB,3 månader,16 771,"3,8mkr",20010-01-01,,
"3,15",Swedbank,3 år,16852,"1,7mkr",120209,,
"3,15",Nordea,3 år,17153,,,,
"3,15",Swedbank,Rörlig,17 159,1200000,120120,,
"3,15",SEB,3 år,18245,3000000,91028,,
"3,15",Nordea,2 år,18355,950000,3/15/2012,,
"3,15",Nordea,3 år,18355,950000,3/15/2012,,
"3,15",SEB,3 månader,18 452,,,,
"3,15",SEB,2 år,18670,550000,2011,,
"3,15",SEB,3 månader,18 732,,,,
"3,15",Nordea,2 år,18742,"2,58",2012/02/30,,
"3,15",SEB,3 år,19469,"0,926",9/28/2010,,
"3,15",Swedbank,Rörlig,21 613,,,,
"3,15",Handelsbanken,5 år,24747,"1,5 mkr",9/1/2010,,
"3,15",Handelsbanken,3 år,25251,"1,2 mkr",7/15/2010,,
"3,15",Handelsbanken,2 år,25591,"06.0""0","00""",februari 2012,
"3,15",Länsförsäkringar,5 år,31291,200000,6/10/2000,,
"3,15",Swedbank,3 år,34196,"1,2",120315,,
"3,15",Länsförsäkringar,2 år,35244,"1,7 mkr",6/30/2011,,
"3,15",Swedbank,2 år,35264,"1,2",12/5/2011,,
"3,15",Länsförsäkringar,3 år,37030,940000,2009,,
"3,15",Handelsbanken,2 år,41270,10 milj,3/13/2012,,
"3,15",Nordea,3 månader,41 680,,,,
"3,15",Swedbank,2 år,42167,7 mkr,20120205,,
"3,15",SEB,2 år,42830,"1,6 Mkr",3/1/2012,,
"3,15",Handelsbanken,3 månader,43 149,,,,
"3,15",SEB,Rörlig,43 331,"3,150 mkr",11/1/2010,,
"3,15",Nordea,2 år,50463,"1,8",120127,,
"3,15",Länsförsäkringar,3 månader,53 295,,,,
"3,15",SEB,1 år,55323,"1,1 mkr",20111101,,
"3,15",SEB,3 månader,55 448,"1,9",Dec-11,,
"3,15",SEB,3 år,57438,"1,6",110715,,
"3,15",Handelsbanken,2 år,58958,"0,6 mkr",12/1/2011,,
"3,15",Swedbank,3 månader,61 074,900000,120401,,
"3,15",Handelsbanken,3 månader,64 530,"1,8 mkr",20120330,,
"3,15",Handelsbanken,3 år,65230,4010000,Mars 2012,,
"3,15",SEB,3 år,72242,"1,65",10/8/2011,,
"3,15",Swedbank,10 år,73399,"1,1",Augusti 2007,,
"3,15",Nordea,3 år,74196,,,,
"3,15",Nordea,3 år,75596,"2,5 mkr",Apr-12,,
"3,15",Nordea,2 år,75597,,,,
"3,15",Nordea,2 år,75597,"1,6 mkr",100930,,
"3,15",Nordea,3 år,78191,"0,8mkr",110920,,
"3,15",Nordea,3 år,79156,"2,5",2/23/2012,,
"3,15",Länsförsäkringar,3 år,81191,"1,1 mkr",7/5/2010,,
"3,15",Nordea,2 år,90750,489 tkr,101020,,
"3,15",SEB,2 år,11344,"0""",,,
"3,15",Swedbank,3 månader,43138,"0""","1,7 mkr",mars 2012,
"3,14",SEB,3 år,11320,"2,3 mkr",20110830,,
"3,14",SEB,3 år,12637,1600000,9/1/2011,,
"3,14",SEB,1 år,12838,,,,
"3,14",SEB,2 år,13131,1000000,Augusti 2011,,
"3,14",Skandiabanken,3 år,13551,"2,7",20111025,,
"3,14",SEB,3 månader,13 648,,,,
"3,14",SEB,3 månader,13 648,815000,4/28/2011,,
"3,14",SEB,3 månader,14 263,"1,025",6/6/2010,,
"3,14",Handelsbanken,2 år,14462,"1,5 mkr",2012.02.29,,
"3,14",Handelsbanken,2 år,14462,"1,5",Februari 2012,,
"3,14",Nordea,3 år,15463,"1,0 mkr",augusti 2010,,
"3,14",Handelsbanken,2 år,15632,"2,3 mkr",Feb-12,,
"3,14",SEB,3 månader,17 149,,,,
"3,14",SEB,2 år,17441,"2,4",110830,,
"3,14",SEB,3 månader,18 130,4055000,2011,,
"3,14",SEB,1 år,18670,2375000,2009,,
"3,14",Swedbank,1 år,18768,4500000,mars 2012,,
"3,14",Handelsbanken,1 år,18773,2.125mkr,10/1/2011,,
"3,14",SEB,2 år,19693,,,,
"3,14",SEB,2 år,19693,,,,
"3,14",SEB,2 år,21236,3000000,Feburari 2012,,
"3,14",SEB,2 år,23631,"4,4 mkr",Dec-11,,
"3,14",SEB,2 år,26332,,,,
"3,14",SEB,1 år,30292,"2,7 mkr",110901,,
"3,14",SEB,1 år,31104,525000,120131,,
"3,14",SEB,1 år,31198,525000,120131,,
"3,14",SEB,2 år,41261,,,,
"3,14",SEB,1 år,43496,"2,3",oktober 2010,,
"3,14",Swedbank,2 år,57275,198000,21001,,
"3,14",Handelsbanken,3 månader,60 212,1,20120325,,
"3,14",SEB,1 år,64792,,,,
"3,14",SEB,1 år,64792,"5,8",20120128,,
"3,14",Nordea,2 år,70231,"1,8",20111001,,
"3,14",Swedbank,3 månader,72 233,987000,110528,,
"3,14",SEB,2 år,75591,,,,
"3,14",Handelsbanken,2 år,83162,,,,
"3,14",Handelsbanken,3 år,90336,"1,3 mkr",100901,,
"3,14",SEB,3 år,13333,"0""",,,
"3,14",SEB,1 år,13461,"0""","5,2",Jan-12,
"3,13",SEB,2 år,11233,"2,25 mkr",11/30/2011,,
"3,13",Swedbank,3 månader,11 347,,,,
"3,13",SEB,Rörlig,11 446,,,,
"3,13",Swedbank,2 år,11667,"1,2 mkr",9/25/2011,,
"3,13",Swedbank,2 år,12266,2 mkr,20120306,,
"3,13",SEB,2 år,12540,959000,11/28/2011,,
"3,13",Handelsbanken,3 år,13563,"2,8",110922,,
"3,13",SEB,2 år,14744,3,1/31/2012,,
"3,13",Skandiabanken,1 år,18246,"0,2",9/25/2011,,
"3,13",SEB,1 år,18255,,,,
"3,13",SBAB,3 år,21761,190,90913,,
"3,13",SEB,2 år,22651,"1,9 mkr",Nov-11,,
"3,13",Handelsbanken,2 år,33010,750000,4/1/2012,,
"3,13",SEB,3 månader,39 247,2 mkr,1/1/2010,,
"3,13",Swedbank,3 månader,41 111,"1,3",Apr-12,,
"3,13",Swedbank,1 år,42737,1 mkr,120103,,
"3,13",Swedbank,1 år,42931,"3,6 mkr",Februari 2012,,
"3,13",SEB,2 år,55336,"0,9 MKR",110730,,
"3,13",SEB,Rörlig,64 436,3,20120303,,
"3,13",SEB,2 år,70356,"2,4",20120128,,
"3,13",SEB,3 månader,79 174,,,,
"3,13",SEB,3 år,85238,908000,7/28/2011,,
"3,13",Handelsbanken,1 år,85740,200000,6/20/2011,,
"3,13",SBAB,Rörlig,91 020,195000,februari 2000,,
"3,13",Handelsbanken,3 månader,56132,"0""",460000,Mars 2012,
"3,12",SEB,2 år,11248,,,,
"3,12",SEB,3 år,11265,1100000,10/10/2009,,
"3,12",Swedbank,3 år,11524,,,,
"3,12",SEB,3 månader,13 150,"2,8 mkr",20101101,,
"3,12",Swedbank,2 år,13334,3500000,121210,,
"3,12",Handelsbanken,3 månader,13 767,240000,20120201,,
"3,12",SEB,2 år,18158,430000,20111028,,
"3,12",SEB,2 år,18158,430000,10/28/2011,,
"3,12",SEB,2 år,18746,"4,3 mkr",12/15/2011,,
"3,12",Swedbank,2 år,18768,,,,
"3,12",SEB,2 år,21145,"1,2 mkr",120201,,
"3,12",Handelsbanken,2 år,21233,"1,5 mkr",2/20/2012,,
"3,12",SEB,1 år,21612,"1,1",110701,,
"3,12",SEB,3 månader,21 873,"5,2 mkr",110301,,
"3,12",Swedbank,3 månader,35 230,"1,5 mkr",20120401,,
"3,12",SEB,1 år,41132,"3,1mkr",120201,,
"3,12",SEB,2 år,41506,2300000,Juli 2010,,
"3,12",SEB,3 månader,42 674,"0,7 mkr",120215,,
"3,12",Nordea,5 år,42735,1500000,Maj 2010,,
"3,12",Handelsbanken,2 år,43444,"2,4 mkr",Januari 2012,,
"3,12",SEB,1 år,43543,,,,
"3,12",SEB,1 år,43543,"2,75 mkr",2/25/2012,,
"3,12",Swedbank,3 månader,44 692,,,,
"3,12",Swedbank,3 år,59011,520,2009,,
"3,12",SEB,2 år,59160,450000,111130,,
"3,12",Swedbank,10 år,83531,"3,4 mkr",Januari 2012,,
"3,12",SEB,3 månader,93 198,394000,20110928,,
"3,12",SEB,3 år,97332,750000,3/1/2012,,
"3,12",SEB,1 år,11632,"0""","3,4 mkr", juli 2011,
"3,12",SEB,3 månader,12349,"0""","0,8 mkr",Mars 2012,
"3,11",SEB,3 år,11234,712500,Sep-11,,
"3,11",SEB,2 år,11267,"1,8",Dec-11,,
"3,11",SEB,1 år,11527,"1,5 mkr",11/1/2011,,
"3,11",SEB,3 månader,11 620,,,,
"3,11",SEB,3 månader,11 850,"3,4 mkr",20090501,,
"3,11",SEB,2 år,12931,900000,1/15/2012,,
"3,11",SEB,3 månader,13 200,,,,
"3,11",SEB,3 månader,13 246,5mkr,120325,,
"3,11",SEB,3 månader,16 246,"1,85 mkr",120321,,
"3,11",SEB,3 månader,16 850,"2,8 mkr",12/28/2010,,
"3,11",SEB,3 månader,16 850,"2,8 mkr",Dec-10,,
"3,11",SEB,3 månader,18 642,,,,
"3,11",SEB,2 år,19146,"3,7 mkr",Januari 2012,,
"3,11",SEB,3 månader,19 453,"1,9",120328,,
"3,11",SEB,3 år,23145,1077000,8/28/2010,,
"3,11",SEB,2 år,24431,"2,2 mkr",12/28/2011,,
"3,11",SEB,2 år,31133,"0,5 mkr",3/28/2011,,
"3,11",Handelsbanken,2 år,41311,450000,9/15/2011,,
"3,11",Handelsbanken,2 år,43351,"3,6",mars 2012,,
"3,11",SEB,3 år,43898,868000,9/28/2011,,
"3,11",Skandiabanken,3 år,59021,800000,9/30/2010,,
"3,11",SEB,2 år,72351,,,,
"3,11",SEB,2 år,72351,,,,
"3,11",Swedbank,3 månader,72 462,"2,1mkr",8/1/2011,,
"3,11",Swedbank,1 år,73398,"1,5 mkr",20111220,,
"3,1",Swedbank,2 år,11246,,,,
"3,1",Danske Bank,Rörlig,11 340,"4,4",110501,,
"3,1",Handelsbanken,3 år,11346,,,,
"3,1",SEB,2 år,11351,,,,
"3,1",Swedbank,3 år,11360,"2,3mkr",20120330,,
"3,1",SEB,3 månader,11 362,"2,7 mkr",2/1/2012,,
"3,1",SEB,2 år,11440,"3,2",11/9/1991,,
"3,1",Swedbank,3 månader,11 445,"5,2",xxx,,
"3,1",Handelsbanken,10 år,11447,2 mnkr,1/1/2010,,
"3,1",SEB,1 år,11738,1900000,110808,,
"3,1",Swedbank,2 år,11827,,,,
"3,1",Swedbank,1 år,11857,"1,5",9/30/2011,,
"3,1",Länsförsäkringar,2 år,12063,,,,
"3,1",SEB,2 år,12541,"4,1",120105,,
"3,1",Swedbank,3 månader,12 543,"2,9",4/1/2011,,
"3,1",Swedbank,Rörlig,12 556,"2,8 mkr",Nov-07,,
"3,1",Nordea,2 år,12626,900000,20120228,,
"3,1",Skandiabanken,3 månader,12 838,"1,2mkr",2012,,
"3,1",Handelsbanken,2 år,12941,"4,6 mkr",12/10/2010,,
"3,1",SEB,3 år,12945,,,,
"3,1",Handelsbanken,2 år,13334,"4,5",mars 2012,,
"3,1",Nordea,3 månader,13 941,"01.0""1","00""",120204,
"3,1",SEB,4 år,14763,"3,485",3/1/2012,,
"3,1",SEB,4 år,14763,"3,485",3/1/2012,,
"3,1",Swedbank,3 år,16354,2,Nov-11,,
"3,1",SEB,Rörlig,16 856,"2,5",2012,,
"3,1",Nordea,2 år,17272,850000,20120220,,
"3,1",Nordea,3 år,17764,,,,
"3,1",Danske Bank,3 år,18143,4 mkr,20120322,,
"3,1",Handelsbanken,3 år,18146,"3,1 mkr",20120201,,
"3,1",Nordea,3 år,18164,"4,160 mkr",120301,,
"3,1",SEB,3 månader,18 234,,,,
"3,1",Swedbank,Rörlig,18 265,4000000,120328,,
"3,1",Swedbank,3 månader,18 452,650000 kr,juni 2010,,
"3,1",SEB,2 år,18492,"2,37",Februari 2012,,
"3,1",Handelsbanken,2 år,18656,"2,8",101201,,
"3,1",Handelsbanken,2 år,21619,"8,2",mars 2012,,
"3,1",Handelsbanken,Rörlig,23 438,"3,8 mkr",101001,,
"3,1",SEB,2 år,26900,2500000,8/1/2011,,
"3,1",Handelsbanken,1 år,26936,,,,
"3,1",Swedbank,4,34 135,430000,Sep-10,,
"3,1",Swedbank,3 år,34340,770000,110923,,
"3,1",Nordea,3 år,37138,"1,2 mkr",5/27/2011,,
"3,1",Swedbank,3 år,38232,637000,20101001,,
"3,1",SEB,1 år,39360,,,,
"3,1",SEB,2 år,41254,"1,5",12/23/2011,,
"3,1",Handelsbanken,3 år,41266,5,3/20/2012,,
"3,1",Handelsbanken,3 månader,41 309,"1,6 mkr",Februari 2012,,
"3,1",Handelsbanken,2 år,41476,,,,
"3,1",SEB,1 år,41524,"1,7",Jan-12,,
"3,1",Swedbank,1 år,41656,3,Dec-11,,
"3,1",Swedbank,2 år,42139,,,,
"3,1",Handelsbanken,2 år,43143,"1,1 mkr",10/3/2011,,
"3,1",SEB,3 år,43159,,,,
"3,1",SEB,2 år,43246,"2,6 mkr",111126,,
"3,1",SEB,2 år,43951,3 mkr,11/1/2011,,
"3,1",Skandiabanken,3 månader,43 961,"2,4 mkr",120301,,
"3,1",SEB,2 år,51169,"1,8",7/10/2011,,
"3,1",Länsförsäkringar,3 år,54991,750000,20110930,,
"3,1",Nordea,3 månader,55 439,"1,45 mkr",20120201,,
"3,1",Handelsbanken,Rörlig,56 250,100000,JAN ,,
"3,1",SEB,Rörlig,60 229,400000,Mars 2011,,
"3,1",SEB,1 år,63353,,,,
"3,1",SEB,2 år,64332,,,,
"3,1",SEB,3 år,69133,430000,11/30/2011,,
"3,1",Handelsbanken,2 år,79592,"1,5",100601,,
"3,1",Länsförsäkringar,2 år,82230,200000,20101129,,
"3,1",SEB,3 år,89250,840000,Nov-11,,
"3,1",SEB,2 år,97437,500000,3/1/2012,,
"3,1",SEB,3 år,13465,"0""","3,8 mkr",120201,
"3,1",SEB,2 år,64194,"0""",08 mkr,Mars 2012,
"3,1",SEB,3 år,69133,"0""","0,43 mkr",Nov-11,
"3,1",Swedbank,2 år,79136,"0""",,,
"3,1",Swedbank,2 år,79136,"0""",1615000,januari 2012,
"3,09",SEB,1 år,11263,"1,2 mkr",110815,,
"3,09",Handelsbanken,3 år,11356,"1,875",Nov-10,,
"3,09",SEB,1 år,11430,,,,
"3,09",SEB,1 år,11726,"1,75 Mkr.",111005,,
"3,09",SEB,3 år,12848,2500000,10/1/2011,,
"3,09",Swedbank,Rörlig,13 246,"10,5 mkr",3/1/2012,,
"3,09",SEB,1 år,14170,527000,8/26/2011,,
"3,09",SEB,1 år,23734,350000,Juli 2011,,
"3,09",Nordea,2 år,25252,"3,5",Mars 2012,,
"3,09",SEB,3 år,25450,866000,12/28/2011,,
"3,09",SEB,3 år,35250,"1,3 mkr",120215,,
"3,09",Handelsbanken,2 år,39470,"1,45",9/1/2011,,
"3,09",Swedbank,3 år,41309,2000000,20120326,,
"3,09",Handelsbanken,2 år,42339,"2,72 mkr",10/31/2011,,
"3,09",Swedbank,3 år,45660,500000,20111210,,
"3,09",SEB,3 år,53431,"1,2mkr",111228,,
"3,09",SEB,3 år,58564,25000000,120201,,
"3,09",SEB,2 år,64551,675 tkr,Sep-11,,
"3,09",SEB,2 år,65230,"2,2",20111010,,
"3,09",SEB,3 år,73111,650000,20120130,,
"3,09",SEB,3 år,74195,"1,5",1/13/2012,,
"3,09",Swedbank,3 år,90353,"2,1",2/1/2012,,
"3,09",SEB,2 år,11854,"0""","4,1 mkr",Februari 2012,
"3,09",Handelsbanken,2 år,12138,"0""",750000,9/30/2010,
"3,08",SEB,3 månader,11 422,"2,7 mkr",100201,,
"3,08",SEB,2 år,11558,,,,
"3,08",Handelsbanken,2 år,13239,"4,0 milj",3/1/2012,,
"3,08",SEB,3 månader,14 132,2460000,3/31/2010,,
"3,08",SEB,3 år,14950,"3,4 mkr",120125,,
"3,08",SEB,2 år,16753,"4,7",februari 2012,,
"3,08",SEB,2 år,17072,"1,9 mkr",3/13/2012,,
"3,08",Handelsbanken,3 år,17739,800000,9/12/2009,,
"3,08",SEB,2 år,19541,975000,120229,,
"3,08",SEB,2 år,21751,"1,2 mkr",2/1/2012,,
"3,08",Swedbank,3 månader,28 139,,,,
"3,08",SEB,2 år,42669,"3,3",Nov-11,,
"3,08",Swedbank,Rörlig,43 365,,,,
"3,08",SEB,3 år,45391,612000,1/27/2012,,
"3,08",SEB,3 år,58264,,,,
"3,08",Swedbank,Rörlig,72 342,,,,
"3,08",Handelsbanken,3 år,74236,55000,9/1/2010,,
"3,08",Nordea,3 månader,45162,"0""",,,
"3,08",SEB,1 år,54150,"0""","2,7 mkr",Nov-11,
"3,07",SEB,1 år,11332,"2,8 mkr",7/30/2011,,
"3,07",SBAB,2 år,11353,495000,20101001,,
"3,07",Handelsbanken,1 år,11459,"11,4",9/1/2011,,
"3,07",SEB,2 år,11765,,,,
"3,07",Handelsbanken,2 år,12237,,,,
"3,07",SEB,2 år,15139,775000,Sep-11,,
"3,07",SEB,3 år,16563,"1,2",100601,,
"3,07",Nordea,2 år,16736,675000,11/12/2010,,
"3,07",SEB,2 år,18269,,,,
"3,07",SEB,1 år,18363,"3,8 mkr",20120228,,
"3,07",SEB,2 år,21112,"1,1 mkr",10/1/2011,,
"3,07",SEB,2 år,23591,475000,Dec-11,,
"3,07",SEB,2 år,26093,"1,3",20111030,,
"3,07",SEB,2 år,41729,"1,5 mkr",8/28/2011,,
"3,07",SEB,2 år,44260,"2,1",1/1/2012,,
"3,07",Swedbank,3 år,45131,600,11/12/2010,,
"3,07",Handelsbanken,3 månader,66 131,733000,120301,,
"3,07",SEB,3 år,66341,802000,2012,,
"3,07",SEB,1 år,75450,,,,
"3,07",SEB,1 år,75652,"1,5",2/1/2012,,
"3,07",SEB,2 år,21565,"0""","1,1",2011,
"3,06",Handelsbanken,3 år,11223,850 tkr,Sep-10,,
"3,06",SEB,2 år,11728,"2,5",111227,,
"3,06",SEB,1 år,11759,"2,4",9/30/2010,,
"3,06",SEB,2 år,12451,,,,
"3,06",SEB,3 månader,12 634,190000,201x/xx/xx,,
"3,06",SBAB,Rörlig,12 836,700000,20120328,,
"3,06",SEB,3 år,13150,5200000,mars 2012,,
"3,06",SEB,2 år,18130,"1,7mkr",2/28/2012,,
"3,06",SEB,2 år,19149,"3,5",9/1/2012,,
"3,06",SEB,1 år,19593,,,,
"3,06",Nordea,2 år,25252,"3,5",20120326,,
"3,06",Nordea,2 år,25252,"3,5",120326,,
"3,06",SEB,Rörlig,41 102,,,,
"3,06",SEB,Rörlig,41 102,,,,
"3,06",SEB,3 månader,41 255,"6,7 mkr",Januari 2012,,
"3,06",Handelsbanken,2 år,42931,"2,7 mkr",111028,,
"3,06",SEB,3 månader,44 332,3,120320,,
"3,06",SEB,2 år,75321,"1,8",Dec-11,,
"3,06",SEB,3 månader,11354,"0""","4,6 mkr",Mars 2012,
"3,05",SEB,"1, 2 och 3 år - lika andelar",11 631,"2,8 mkr",110801,,
"3,05",SEB,2 år,11855,1880000,111228,,
"3,05",Nordea,3 år,12135,,,,
"3,05",Swedbank,3 år,12458,940000,4/1/2011,,
"3,05",SEB,2 år,13754,,,,
"3,05",SEB,2 år,14139,"2,6mkr",201109xx,,
"3,05",SEB,2 år,14151,"0,2mkr",2011 aug,,
"3,05",SEB,1 år,14192,"2,8 mkr",9/1/2011,,
"3,05",Swedbank,2 år,16552,616250,20110801,,
"3,05",Swedbank,2 år,16552,616250,20110801,,
"3,05",SEB,2 år,16559,,,,
"3,05",Handelsbanken,3 år,16565,,,,
"3,05",SEB,2 år,16873,"1,615 mkr",9/1/2011,,
"3,05",Länsförsäkringar,3 månader,17 441,700000,1/1/2012,,
"3,05",SEB,2 år,18264,"1,5",Sep-12,,
"3,05",Handelsbanken,3 år,18377,"2,0 mkr",juni 2010,,
"3,05",SEB,3 månader,21 112,,,,
"3,05",Swedbank,3 år,21746,624780,100326,,
"3,05",SEB,2 år,23736,"1,4 mkr",6/6/2011,,
"3,05",Swedbank,3 år,30263,637500,9/25/2009,,
"3,05",Nordea,3 år,33151,,,,
"3,05",SEB,3 år,35250,"1,3 mke",Feb-12,,
"3,05",Swedbank,2 år,39364,"0,5",Nov-10,,
"3,05",SEB,2 år,41143,,,,
